Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
34,-54.3496,-47.0003,-54.8441,-62.2853,-61.8674,-63.1401,-66.8772,-54.2129,-59.6204,-68.6239,-62.201,-58.1926,-50.622,-53.0908,-56.4645,-67.0846,-48.5903,-55.2188,-69.1083,-54.0746,-70.0,-56.7903,-50.2798,-49.8251,-46.387,-61.3087,-55.5535,-47.7786,-49.1984,-55.9313,0
35,-54.3349,-49.5346,-55.057,-58.8693,-62.412,-58.5415,-63.1496,-55.3711,-61.5322,-70.0,-65.8449,-59.9776,-49.8558,-57.1587,-59.4603,-67.4157,-45.2977,-53.6605,-66.7207,-54.3474,-67.0815,-56.5039,-46.8647,-51.5554,-48.5494,-61.8661,-60.97,-50.4416,-52.2835,-53.464,0
36,-59.6102,-46.7088,-57.8007,-55.65,-60.1159,-64.0556,-65.1528,-54.1421,-62.317,-70.0,-61.9249,-56.3506,-51.3084,-54.2545,-59.0919,-70.0,-46.1969,-52.9021,-70.0,-53.1636,-67.6385,-54.8276,-47.3713,-52.695,-52.2215,-64.5612,-63.1245,-49.9972,-54.9176,-54.4517,0
37,-61.7902,-44.6825,-58.1727,-55.4294,-63.5052,-66.5065,-60.5381,-52.998,-59.9272,-66.605,-59.8261,-54.3483,-52.888,-58.7004,-55.432,-70.0,-46.9806,-51.7336,-67.8776,-52.442,-66.1389,-53.8824,-45.9431,-58.098,-48.7913,-63.5447,-60.9473,-47.2701,-59.1453,-51.9292,0
38,-66.6805,-42.9706,-56.498,-53.3944,-65.612,-70.0,-58.8931,-51.5238,-64.9387,-66.9559,-63.996,-54.5034,-48.8683,-61.34,-56.6678,-70.0,-51.6934,-56.7205,-69.4419,-54.1429,-63.0101,-52.0755,-43.9291,-62.9465,-51.3904,-65.1637,-62.1569,-44.6186,-62.9037,-49.0177,0
39,-67.9611,-48.7344,-52.6127,-52.1957,-64.0151,-70.0,-61.654,-51.8174,-64.7483,-62.4046,-65.3682,-51.7986,-48.998,-65.6901,-56.8626,-65.7091,-48.3308,-55.8832,-70.0,-50.6322,-65.0038,-52.1281,-43.4935,-63.8573,-50.0673,-65.3738,-63.1539,-50.8265,-62.933,-52.3944,0
40,-65.352,-48.895,-55.9785,-56.7079,-61.574,-69.4646,-60.6435,-53.6195,-68.403,-67.5354,-65.9629,-55.0601,-52.3473,-66.0827,-59.7175,-68.0863,-46.4576,-53.8169,-66.4992,-48.7372,-66.9793,-57.041,-42.6175,-61.8382,-53.1641,-66.8195,-64.2161,-53.514,-60.1495,-54.1861,0
41,-66.5917,-45.4489,-54.0972,-54.7194,-57.2389,-69.2281,-60.1357,-53.5957,-70.0,-70.0,-67.9894,-58.7688,-48.5917,-62.8486,-60.6321,-66.3849,-50.8129,-54.5732,-62.4107,-53.157,-62.814,-56.5707,-40.7097,-61.9215,-58.8104,-68.6587,-63.2721,-57.4432,-58.8082,-56.1952,0
42,-63.1566,-50.495,-55.0181,-58.9502,-55.3052,-66.0664,-56.9421,-55.3322,-70.0,-70.0,-65.7268,-57.4244,-54.6062,-67.0408,-64.4108,-65.0334,-48.0134,-59.47,-65.1265,-57.8695,-58.885,-58.5477,-40.1997,-63.9415,-58.4129,-64.7648,-66.6447,-61.7012,-59.3494,-61.4094,0
43,-64.6646,-50.6968,-54.2853,-58.4745,-57.96,-68.3237,-53.5635,-52.8615,-70.0,-70.0,-70.0,-59.611,-58.8871,-68.4333,-63.3363,-62.5028,-45.1811,-56.8983,-65.6115,-58.466,-59.7482,-60.0932,-43.1102,-59.6524,-59.1601,-60.9433,-62.5611,-65.6929,-64.7927,-60.8588,0
