Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
49,-45.5506,-70.0,-67.8987,-65.6759,-70.0,-63.8612,-67.2403,-58.2118,-64.7452,-67.5268,-54.1399,-59.3292,-59.5204,-55.9685,-65.5895,-70.0,-59.9182,-70.0,-63.558,-70.0,-60.9824,-59.5364,-66.8721,-68.1774,-60.0349,-67.423,-70.0,-60.9224,-58.4649,-65.5106,0
50,-45.9511,-70.0,-65.848,-69.6979,-70.0,-65.3649,-70.0,-59.2406,-67.202,-64.6704,-55.6563,-62.7344,-63.7823,-56.3991,-64.6199,-65.588,-63.8451,-67.1072,-63.1842,-70.0,-66.2706,-63.9264,-70.0,-65.1146,-59.6077,-66.3862,-69.554,-59.9172,-57.8976,-69.2885,0
51,-42.9888,-70.0,-70.0,-70.0,-70.0,-61.2659,-67.7526,-59.2904,-68.0109,-61.1174,-53.9518,-58.7413,-67.5316,-57.1498,-62.311,-67.7125,-59.3744,-63.6714,-65.3013,-65.1699,-67.9103,-68.9201,-67.1639,-67.2021,-64.8058,-67.211,-68.9539,-61.5183,-61.2372,-70.0,0
52,-47.3557,-68.9004,-70.0,-70.0,-70.0,-57.9883,-70.0,-55.5294,-68.9502,-66.0214,-51.458,-61.079,-69.8196,-57.1421,-63.4757,-69.8384,-59.3962,-64.0674,-66.1257,-60.9125,-68.5779,-67.5653,-70.0,-67.6537,-61.9334,-68.1289,-68.8844,-61.9979,-60.1178,-70.0,0
53,-45.7824,-64.9829,-69.8416,-67.6571,-68.9274,-59.611,-68.0225,-51.5807,-69.5102,-65.8866,-55.6686,-62.9559,-65.3756,-56.8585,-66.2034,-70.0,-59.455,-61.2712,-70.0,-58.5233,-70.0,-64.6014,-70.0,-64.7824,-63.9908,-70.0,-69.831,-60.6851,-60.7942,-70.0,0
54,-42.0187,-60.5295,-65.7631,-70.0,-70.0,-61.8277,-65.4946,-52.8219,-65.8872,-66.0213,-54.097,-67.8571,-60.9832,-60.8021,-65.9807,-70.0,-59.5528,-63.3606,-65.7152,-55.7581,-65.0264,-66.4323,-69.0453,-60.5898,-64.5967,-70.0,-70.0,-64.2247,-63.7928,-65.7051,0
55,-40.0672,-59.6324,-61.8369,-66.6266,-66.7405,-62.4341,-61.4445,-49.401,-67.4843,-62.9863,-52.0673,-68.1443,-57.4441,-59.0535,-68.5746,-67.3649,-55.8049,-65.2995,-62.8485,-59.8458,-70.0,-68.5035,-65.5454,-62.3586,-60.4142,-66.4009,-70.0,-65.9816,-60.9277,-63.7376,0
56,-39.7504,-59.2132,-59.5756,-64.5723,-65.3598,-64.7861,-65.7746,-50.0018,-70.0,-59.787,-48.3407,-69.6129,-62.2715,-62.9773,-70.0,-62.7091,-53.4443,-67.3852,-60.8827,-55.937,-70.0,-65.0558,-67.2219,-66.7829,-59.6415,-70.0,-66.7636,-70.0,-65.0825,-60.2244,0
57,-42.2406,-63.0011,-59.782,-64.4698,-64.2184,-69.893,-62.2302,-48.6991,-70.0,-64.8589,-50.0124,-70.0,-61.4511,-59.343,-70.0,-65.1496,-57.7094,-66.6202,-61.0391,-59.511,-69.6634,-66.314,-70.0,-64.8289,-59.4124,-70.0,-66.5442,-70.0,-64.1272,-58.8263,0
58,-43.8328,-66.93,-61.9334,-63.2208,-64.0388,-70.0,-61.4409,-47.9275,-68.2125,-66.4085,-54.152,-70.0,-59.204,-56.3552,-70.0,-61.0672,-61.2168,-63.9305,-61.1084,-64.0019,-66.6998,-65.702,-70.0,-62.3428,-58.5987,-70.0,-68.8621,-70.0,-63.1348,-58.6161,0
